Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,500,Fungus,Necrotrophic,B. cinerea,N/A,18.42105263,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,1000,Fungus,Necrotrophic,B. cinerea,N/A,34.21052632,Resistant,Achuo et al 2006
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,50,Fungus,Necrotrophic,B. cinerea,N/A,-135,Susceptible,Achuo et al 2006
Arabidopsis,,pmr4-1,OTHER,callose defficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-132.2580645,Susceptible,Flors et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,100,Fungus,Necrotrophic,B. cinerea,N/A,-130,Susceptible,Achuo et al 2006
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,ABA,phys supp,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-128.2857738,Susceptible,Asselbergh et al 2008
Soybean,,Kingwa,WT,WT,6,Leaves,ABA,N/A,8,Oomycete,Hemibiotroph,P. sojae,N/A,-124.5283019,Susceptible,Mohr et al 2001
Arabidopsis,,aba2-12,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-110.5263158,Susceptible,Adie et al 2007
Arabidopsis,,abi4-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-105.2631579,Susceptible,Adie et al 2007
Arabidopsis,,abi4-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,25.80645161,Resistant,Adie et al 2007
Arabidopsis,,aao3-2,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,38.70967742,Resistant,Adie et al 2007
Arabidopsis,,aba2-12,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,70.96774194,Resistant,Adie et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,75,Resistant,Asselbergh et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,75,Resistant,Asselbergh et al 2007
Arabidopsis,,abi1-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-100,Susceptible,Perchepied et al 2010
Arabidopsis,,aba3-2,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-98.27586207,Susceptible,Perchepied et al 2010
Arabidopsis,,abi2-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-93.44827586,Susceptible,Perchepied et al 2010
Arabidopsis,Col-0,abi1-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,R. solanacearum,N/A,-90.47619048,Susceptible,Hernández-Blanco 2007
Arabidopsis,,aao3-2,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-84.21052632,Susceptible,Adie et al 2007
Arabidopsis,,Ws-0,WT,WT,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-76.92307692,Susceptible,Xiao et al 2017
Arabidopsis,,aba2,ABA,ABA insensitive,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,-74.41860465,Susceptible,García-Andrade et al 2011
Arabidopsis,,abi5-1,ABA,ABA insensitive,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-74.35897436,Susceptible,Xiao et al 2017
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,46.99140401,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,50.33333333,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,51.83246073,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,52.46781116,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,52.83018868,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,57.51295337,Resistant,Asselbergh et al 2008
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,N/A,N/A,0,Bacterium,Necrotrophic,E. chrysanthemi,N/A,57.51295337,Resistant,Asselbergh et al 2008
Rice,Indica,IRBB3,WT,WT,6,Leaves,ABA,spray,100,Bacterium,Hemibiotroph,X. oryzae,N/A,-72.72727273,Susceptible,Xu et al 2013
Tomato,Money Maker,sitiens,ABA,ABA deficient,3,Leaves,ABA,spray,1000,Fungus,Biotrophic,O. neolycopersici,N/A,-72.3145072,Susceptible,Achuo et al 2006
Arabidopsis,,ocp3aba2,ABA,callose/ABA,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,P cucumerina,N/A,-65.11627907,Susceptible,García-Andrade et al 2011
Arabidopsis,,aba2-3,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,S. sclerotiorum,N/A,-62.82051282,Susceptible,Perchepied et al 2010
Arabidopsis,Col-0,35S::miR156a,OTHER,OTHER,5,Leaves,ABA,spray,500,Bacterium,Hemibiotroph,P. syringae hrrC-,N/A,-61.76470588,Susceptible,Berens et al 2019
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,ABA,soil drench,1,Fungus,Necrotrophic,B. cinerea,N/A,10,Resistant,Audenaert et al
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,75,Resistant,Audenaert et al
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,85.45454545,Resistant,Audenaert et al
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,B. cinerea,N/A,85.8974359,Resistant,Audenaert et al
Arabidopsis,,Col-0,WT,WT,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-60,Susceptible,Xiao et al 2017
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,ABA,spray,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-58.88650964,Susceptible,Asselbergh et al 2008
Arabidopsis,,pmr4-1,OTHER,callose defficient,4,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,-57.77777778,Susceptible,Flors et al 2007
